service_id, monday, tuesday, wednesday, thursday, friday, saturday, sunday, start_date, end_date
A1, 1, 1, 1, 1, 1, 0, 0, 20250101, 20260531
A2, 0, 0, 0, 0, 0, 1, 1, 20250101, 20260531
A3, 0, 0, 0, 0, 0, 1, 0, 20250101, 20260531
A4, 0, 0, 0, 0, 0, 0, 1, 20250101, 20260531
B1, 1, 1, 1, 1, 1, 0, 0, 20260601, 20260614
B2, 0, 0, 0, 0, 0, 1, 1, 20260601, 20260614
B3, 0, 0, 0, 0, 0, 1, 0, 20260601, 20260614
B4, 0, 0, 0, 0, 0, 0, 1, 20260601, 20260614
C1, 1, 1, 1, 1, 1, 0, 0, 20260615, 20260802
C2, 0, 0, 0, 0, 0, 1, 1, 20260615, 20260802
C3, 0, 0, 0, 0, 0, 1, 0, 20260615, 20260802
C4, 0, 0, 0, 0, 0, 0, 1, 20260615, 20260802
A1A, 1, 1, 1, 1, 1, 0, 0, 20260803, 20261231
A2A, 0, 0, 0, 0, 0, 1, 1, 20260803, 20261231
A3A, 0, 0, 0, 0, 0, 1, 0, 20260803, 20261231
A4A, 0, 0, 0, 0, 0, 0, 1, 20260803, 20261231
D1, 0, 0, 0, 0, 1, 0, 0, 20260529, 20260529
E2, 0, 0, 0, 0, 0, 1, 0, 20260613, 20260613
E3, 0, 0, 0, 0, 0, 1, 0, 20260613, 20260613
F2, 0, 0, 0, 0, 0, 0, 1, 20260614, 20260614
F4, 0, 0, 0, 0, 0, 0, 1, 20260614, 20260614
